#zstart1	size2	name1	end1
21286	114	U00096.2	21400
43820	224	U00096.2	44044
89183	232	U00096.2	89415
37407	689	U00096.2	38096
93047	145	U00096.2	93192
72346	163	U00096.2	72509
95511	129	U00096.2	95640
36841	100	U00096.2	36941
85373	229	U00096.2	85602
60587	155	U00096.2	60742
53606	105	U00096.2	53711
5550	72	U00096.2	5600
2302438	72	U00096.2	2302528
66606	72	U00096.2	66678
4315945	61	U00096.2	4316002
66660	61	U00096.2	66721
64708	100	U00096.2	64808
50965	372	U00096.2	51337
42763	262	U00096.2	43025
65541	211	U00096.2	65752
99539	143	U00096.2	99682
60109	129	U00096.2	60238
64241	100	U00096.2	64341
7299	118	U00096.2	7417
31578	261	U00096.2	31839
46491	214	U00096.2	46705
63015	510	U00096.2	63525
64328	100	U00096.2	64428
78686	269	U00096.2	78955
85060	144	U00096.2	85204
30587	290	U00096.2	30877
75967	341	U00096.2	76308
23946	315	U00096.2	24261
76820	102	U00096.2	76922
22474	134	U00096.2	22608
12482	355	U00096.2	12837
2656255	355	U00096.2	2656582
81102	133	U00096.2	81235
33672	257	U00096.2	33929
23093	352	U00096.2	23445
55753	589	U00096.2	56342
22904	114	U00096.2	23018
73437	224	U00096.2	73661
57169	99	U00096.2	57268
54015	104	U00096.2	54119
3477891	148	U00096.2	3478039
48364	148	U00096.2	48512
79748	92	U00096.2	79840
94296	209	U00096.2	94505
25557	155	U00096.2	25712
96284	100	U00096.2	96384
29747	311	U00096.2	30058
16878	121	U00096.2	16999
89884	118	U00096.2	90002
35078	379	U00096.2	35457
1462512	379	U00096.2	1462787
86536	277	U00096.2	86813
9194	230	U00096.2	9424
24419	466	U00096.2	24885
60945	108	U00096.2	61053
60383	94	U00096.2	60477
32994	287	U00096.2	33281
54132	100	U00096.2	54232
9938	113	U00096.2	10051
1064	150	U00096.2	1214
98776	112	U00096.2	98888
32834	120	U00096.2	32954
60747	140	U00096.2	60887
64081	100	U00096.2	64181
2417	95	U00096.2	2512
81813	129	U00096.2	81942
289	152	U00096.2	441
8244	100	U00096.2	8344
9815	98	U00096.2	9913
21423	100	U00096.2	21523
97517	269	U00096.2	97786
51423	454	U00096.2	51877
95703	218	U00096.2	95921
35963	274	U00096.2	36237
3560	140	U00096.2	3700
30259	255	U00096.2	30514
71633	100	U00096.2	71733
5157	264	U00096.2	5421
46967	261	U00096.2	47228
83299	398	U00096.2	83697
698641	272	U00096.2	698727
5589	272	U00096.2	5861
556	295	U00096.2	851
71844	210	U00096.2	72054
85177	201	U00096.2	85378
55195	100	U00096.2	55295
5027	118	U00096.2	5145
48890	100	U00096.2	48990
11777	428	U00096.2	12205
3477683	202	U00096.2	3477870
48531	202	U00096.2	48733
25147	228	U00096.2	25375
35448	113	U00096.2	35561
64816	122	U00096.2	64938
17008	103	U00096.2	17111
36728	121	U00096.2	36849
13605	147	U00096.2	13752
41138	264	U00096.2	41402
53209	96	U00096.2	53305
58650	320	U00096.2	58970
3201161	201	U00096.2	3201248
3672403	201	U00096.2	3672495
3982240	201	U00096.2	3982345
25710	201	U00096.2	25911
26840	204	U00096.2	27044
54237	95	U00096.2	54332
75069	318	U00096.2	75387
28616	334	U00096.2	28950
50145	117	U00096.2	50262
29423	100	U00096.2	29523
89580	100	U00096.2	89680
59593	100	U00096.2	59693
13037	121	U00096.2	13158
73155	199	U00096.2	73354
44497	99	U00096.2	44596
54556	335	U00096.2	54891
49638	243	U00096.2	49881
65984	140	U00096.2	66124
3748538	140	U00096.2	3748674
95416	100	U00096.2	95516
45652	102	U00096.2	45754
79888	96	U00096.2	79984
24897	274	U00096.2	25171
57436	285	U00096.2	57721
42335	106	U00096.2	42441
35821	136	U00096.2	35957
21170	100	U00096.2	21270
87697	100	U00096.2	87797
20900	100	U00096.2	21000
46320	165	U00096.2	46485
80553	320	U00096.2	80873
68792	219	U00096.2	69011
86219	126	U00096.2	86345
75719	262	U00096.2	75981
94556	100	U00096.2	94656
59181	132	U00096.2	59313
10081	101	U00096.2	10182
53866	113	U00096.2	53979
43068	100	U00096.2	43168
27982	100	U00096.2	28082
34296	259	U00096.2	34555
13517	98	U00096.2	13615
74219	205	U00096.2	74424
18203	95	U00096.2	18298
32285	169	U00096.2	32454
98439	100	U00096.2	98539
58130	100	U00096.2	58230
96931	94	U00096.2	97025
63552	120	U00096.2	63672
84833	103	U00096.2	84936
27572	95	U00096.2	27667
58243	206	U00096.2	58449
38692	272	U00096.2	38964
90415	93	U00096.2	90508
49323	263	U00096.2	49586
30883	100	U00096.2	30983
96033	131	U00096.2	96164
89997	266	U00096.2	90263
29564	144	U00096.2	29708
18037	122	U00096.2	18159
36317	132	U00096.2	36449
65239	115	U00096.2	65354
99146	93	U00096.2	99239
26056	308	U00096.2	26364
6078	103	U00096.2	6181
96581	120	U00096.2	96701
50381	274	U00096.2	50655
1740	100	U00096.2	1840
11193	107	U00096.2	11300
18413	100	U00096.2	18513
22374	95	U00096.2	22469
81985	100	U00096.2	82085
385488	122	U00096.2	385583
72764	122	U00096.2	72886
42414	272	U00096.2	42686
62799	206	U00096.2	63005
48741	102	U00096.2	48843
44348	169	U00096.2	44517
77597	101	U00096.2	77698
6828	145	U00096.2	6973
9605	135	U00096.2	9740
44643	100	U00096.2	44743
31951	100	U00096.2	32051
77826	100	U00096.2	77926
99264	104	U00096.2	99368
17901	116	U00096.2	18017
71761	96	U00096.2	71857
32164	100	U00096.2	32264
53281	199	U00096.2	53480
91954	105	U00096.2	92059
36999	100	U00096.2	37099
30115	148	U00096.2	30263
56726	100	U00096.2	56826
6395	134	U00096.2	6529
32667	120	U00096.2	32787
4470	104	U00096.2	4574
87135	193	U00096.2	87328
59342	133	U00096.2	59475
65840	100	U00096.2	65940
3748718	100	U00096.2	3748805
31039	100	U00096.2	31139
20712	162	U00096.2	20874
22593	100	U00096.2	22693
35647	97	U00096.2	35744
84701	119	U00096.2	84820
53682	207	U00096.2	53889
54376	100	U00096.2	54476
77709	139	U00096.2	77848
99351	136	U00096.2	99487
79278	103	U00096.2	79381
72048	100	U00096.2	72148
12874	98	U00096.2	12972
91487	104	U00096.2	91591
74550	116	U00096.2	74666
2930	121	U00096.2	3051
38266	140	U00096.2	38406
41998	104	U00096.2	42102
76391	100	U00096.2	76491
72205	131	U00096.2	72336
53457	100	U00096.2	53557
66575	61	U00096.2	66636
4315945	61	U00096.2	4316002
8378	103	U00096.2	8481
3581546	61	U00096.2	3581607
20406	61	U00096.2	20467
7169	124	U00096.2	7293
57015	123	U00096.2	57138
76708	100	U00096.2	76808
36459	101	U00096.2	36560
21931	116	U00096.2	22047
96440	95	U00096.2	96535
57298	135	U00096.2	57433
61067	100	U00096.2	61167
50864	114	U00096.2	50978
98649	98	U00096.2	98747
51892	100	U00096.2	51992
55056	100	U00096.2	55156
49008	100	U00096.2	49108
2567	100	U00096.2	2667
59454	115	U00096.2	59569
86103	100	U00096.2	86203
91848	120	U00096.2	91968
43190	100	U00096.2	43290
18329	100	U00096.2	18429
479	101	U00096.2	580
1569	100	U00096.2	1669
98296	98	U00096.2	98394
97778	123	U00096.2	97901
1049096	61	U00096.2	1049157
278997	61	U00096.2	279058
